date,positive_ratio,top_word,strongest_title_with_top_word
2023-08-23,27.24,엔비디아,엔비디아 최고실적이라지만
2023-08-24,27.45,엔비디아,엔비디아 실적 지랄도 안통하노 ㅋㅋ
2023-08-25,26.24,엔비디아,엔비디아 500층 병신 = 3년 뒤에나 터치할 층수 ㅋㅋㅋ
2023-08-26,34.95,한국,해외전문가들이 이중성이 가장 심한국가는 한국이라고함ㄷㄷ
2023-08-28,27.4,테슬라,테슬라 오늘 오르는 이유
2023-08-29,29.02,테슬라,테슬라 지금도 싸다
2023-08-30,27.92,테슬라,오~~~~~~ 테슬라 양전~~~~ 믿고 있었다
2023-08-31,27.76,테슬라,테슬라 상승 예상과 이유
2023-09-01,25.97,테슬라,테슬라 끝이없는 또운지 ㅋㅋㅋㅋ
2023-09-02,32.51,이유,공유 킥보드 사업을 강력하게 제한해야 되는 이유
2023-09-04,28.01,한국,한국 부동산은 일본 처럼 감가의 개념으로 가야지
2023-09-05,27.07,테슬라,테슬라 오늘 무조건 5퍼이상찍는다
2023-09-06,26.88,테슬라,테슬라 최저점에서 샀네 ㅋㅋㅋㅋㅋ
2023-09-07,27.92,애플,애플주 하나도 없었는데 너무 좋은 기회잖아?
2023-09-08,26.68,테슬라,테슬라 오늘도 반등하려나..흠
2023-09-09,32.72,미국,미국 살면 재밌을듯
2023-09-11,26.83,테슬라,테슬라 매도만 있을뿐
2023-09-12,28.0,테슬라,테슬라음전 갑자기 세계최악의 자동차될예정 ㅋㅋㅋㅋ
2023-09-13,25.12,테슬라,테슬라 지금이라도 사야해요
2023-09-14,26.67,테슬라,테슬라 차트 너무 이쁘다
2023-09-15,27.07,테슬라,테슬라 반등보소
2023-09-16,33.34,주식,서울대 나와서 사업하다 망한사람 주식투자하다 망한사람들도 많냐
2023-09-18,30.43,테슬라,오늘도 테슬라 빼고 다 떨어질듯?
2023-09-19,26.28,테슬라,테슬라는 마진 감소가 가장큰 문제임..
2023-09-20,25.13,테슬라,테슬라 상승하는 이유
2023-09-21,29.65,나스닥,나스닥 애플 완벽한 헤드앤숄더 완성ㄷㄷㄷㄷ
2023-09-22,26.55,테슬라,나스닥 대장주 테슬라 마4 ㅜㅜ
2023-09-23,31.78,부동산,부동산 대폭락이 온다
2023-09-25,24.96,미국,미국의 미래
2023-09-26,25.74,환율,환율 방어 실패 1400 레츠고 ㅋㅋㅋㅋ
2023-09-27,27.38,나스닥,속보) 나스닥 선물 개떡상중!!!!
2023-09-28,28.1,숏충이,숏충이들은 20선에서 기회를 노려보아라.
2023-09-29,30.36,셧다운,간판 내리고 문잠궈 셧다운~
2023-09-30,31.57,셧다운,궁금한게 있는데 셧다운 시나리오중에
2023-10-02,26.29,테슬라,"테슬라, 버크셔 투자 중인데 또 추천좀"
2023-10-03,23.84,나스닥,나스닥 이 병신은 어케 제대로 상승을 못하네 씹병신
2023-10-04,25.27,테슬라,테슬라 19일까지 계속 하락이다 ㄷㄷㄷㄷ
2023-10-05,25.99,테슬라,테슬라 최대악재 = 가격할인
2023-10-06,25.55,나스닥,나스닥은 오르고 국장만 병신되는거
2023-10-07,28.21,이스라엘,이스라엘 눈나들 예쁨?
2023-10-09,27.79,이스라엘,븅신들이 이스라엘한테 명분만 줬다이가
2023-10-10,26.0,테슬라,크고 아름다운 테슬라 천국의계단 입갤 ㄷㄷㄷ
2023-10-11,28.9,숏충이,숏충이들 상황.gif
2023-10-12,26.89,미국,"미국 10대, 10명 중 9명 꼴로 '아이폰' 쓴다"
2023-10-13,26.63,나스닥,나스닥 15000 2파 완성 15600 3파 본다.
2023-10-14,32.39,미국,지금 미국 경기 역대급으로 좋기는 하다..
2023-10-16,24.09,테슬라,테슬라 엔비만 흘러 내리네
2023-10-17,24.75,나스닥,쓰레기2000과 나스닥 역사적 공수교대의 순간ㅋㅋㅋㅋㅋ
2023-10-18,26.61,테슬라,"테슬라 ""언젠간 좋아질것"""
2023-10-19,26.23,테슬라,씹련아 테슬라 하나도 안올랐잖아
2023-10-20,29.0,테슬라,테슬라 오늘 10퍼 오르면 좋겠다
2023-10-21,26.46,미국,코스피에서 돈 잃고 미국주식 한다고 깝싸고 왔는데
2023-10-23,27.34,테슬라,테슬라 200일 200주 반등?
2023-10-24,25.31,테슬라,나스닥의 꿈과 희망 그 자체 테슬라로 집결하라
2023-10-25,24.68,구글,구글 너무 많이 빠진거 아니냐? 과매도 아니냐?
2023-10-26,25.9,나스닥,작년 10월이 더 최악이었는데 그때는 나스닥 10k 무너진다고
2023-10-27,25.14,나스닥,작년 나스닥 최저점 찍었을 때 갤러들 전부 카톡 터진 것만 이야기 함
2023-10-28,27.22,여자,배당성장=가슴크고 얼굴 예쁘고 성격좋은 여자
2023-10-30,26.56,테슬라,테슬라 내리는 이유는 온세미 실적에 있잖아
2023-10-31,26.58,테슬라,테슬라 오늘은 올라야한다고 ㅠㅠ큐ㅠㅠㅠ
2023-11-01,23.0,암드,암드 선넘네
2023-11-02,22.7,애플,걍 애플 페이도 존나 안해주는데 점유율 높은게 웃기지
2023-11-03,24.72,환율,ㄹㅇ 환율조작국 수준
2023-11-04,30.15,주식,주식도 잘되고 코인도 잘되고
2023-11-06,22.4,국장,들고있지도 않은 국장 보며 괴로워하지마라
2023-11-07,25.51,테슬라,테슬라 지금 역대급 기회다ㄷㄷㄷ 빨리 타라 ㄷㄷㄷㄷ
2023-11-08,29.73,파월,속보)제롬파월 잘생김
2023-11-09,25.69,테슬라,오늘 테슬라 느낌이 좋다
2023-11-10,26.6,테슬라,테슬라 믿고 있었다고ㅋㅋㅋㅋㅋㅋㅋㅋ
2023-11-11,29.36,이유,아이유란사람이 원래가수엿구나 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ
2023-11-13,28.28,테슬라,테슬라 호재 ㅡ EG Group 테슬라 슈퍼차저 구매
2023-11-14,26.58,테슬라,테슬라가 아직도 매력적인 가격인이유
2023-11-15,24.15,테슬라,테슬라 개꿀 ㅋㅋ
2023-11-16,23.96,테슬라,테슬라 끝도없이 빠지네
2023-11-17,28.37,테슬라,테슬라(전기차) 최대 장점
2023-11-18,30.01,스타쉽,그래서 스타쉽 좆실패인거냐 그래도 잘한거냐
2023-11-20,26.43,마소,마소 최악의실수 하루에 두번 ㄷㄷ
2023-11-21,27.16,엔비디아,엔비디아 지금이 최저점이다
2023-11-22,27.41,엔비디아,역시 엔비디아 얼마 안떨어질줄 알았다
2023-11-23,26.9,환율,환율 산듯하게 출발하네 ㅋㅋㅋㅋ
2023-11-24,27.58,테슬라,지금 테슬라들고있는새끼는 병신맞음 진짜루 ㅋㅋ
2023-11-25,36.08,한국,미래한국
2023-11-27,27.85,나스닥,나스닥이 힘겨울 때 항상의지하는게있지
2023-11-28,28.25,연저펀,연저펀 비추인 이유가
2023-11-29,29.0,테슬라,테슬라 인테리어 별로란 것도 억까인게
2023-11-30,24.27,테슬라,테슬라 진짜 밑도 끝도 없이 내려가노ㅋㅋㅋㅋㅋㅋ
2023-12-01,27.87,테슬라,테슬라의 현실
2023-12-02,25.38,학벌,학벌 무용론도 뻔하다
2023-12-04,30.31,비트코인,비트코인 연초보다 +180% 올랐는데 스닥이 뭐하누?
2023-12-05,31.06,테슬라,테슬라 5거래일 연속하락
2023-12-06,27.01,테슬라,테슬라숏 무한매수했는데 보유량
2023-12-07,25.75,암드,암드 올해 150 가능?
2023-12-08,28.34,나스닥,나스닥 역사적 더블탑 완성
2023-12-09,29.44,부동산,솔직히 부동산하느니 연저펀..
2023-12-11,25.88,속슬,속슬팔고 속스로
2023-12-12,26.05,주식,진짜 보일 이건 욕도 아까운 쓰레기 주식
2023-12-13,27.31,테슬라,테슬라 리콜로 최저점 언제 찍냐 그때 사들인다
2023-12-14,26.19,테슬라,테슬라 거 발연기 좀 그만합시다
2023-12-15,28.79,테슬라,진짜 테슬라인기 뒤진거 실감나노
2023-12-16,30.46,미국,미국이 살기 좋으니깐
2023-12-18,27.44,연저펀,연저펀 수수료차이 좆도안남
2023-12-19,28.08,나스닥,피어그리드 이거 오르는게 나스닥기준임?
2023-12-20,26.09,테슬라,떨어질걸 알아도 팔지 않는 주식은 테슬라뿐
2023-12-21,26.3,테슬라,★ 테슬라 꼭 사야하는 이유 ★
2023-12-22,27.1,나이키,나이키가 그렇게 틀딱 브랜드냐?
2023-12-23,31.23,부동산,일본 부동산버블이랑 비교하는거자체가 말이 안되는거였음
2023-12-25,29.47,이유,장기투자 qld 투자하는 이유가 뭐임?
2023-12-26,25.15,양도세,해외주식 수익에 양도세 22%는 너무함
2023-12-27,26.85,연저펀,연저펀 하느니 소비를 줄이는 게 이득이다
2023-12-28,26.81,테슬라,테슬라가 변동성먹기 가장 좋은거 아니냐?
2023-12-29,28.26,테슬라,테슬라 영혼의 이말올 양전 가즈아
2023-12-30,31.3,미국,미국주식 이제 안할란다
2024-01-01,29.31,일본,일본 진도 7.6이고 별거 아니니까 좀 닥쳐
2024-01-02,24.92,테슬라,테슬라 인도량 잘나온거임?
2024-01-03,27.0,나스닥,나스닥 갤러리에도 놀러와 ㅎㅎ
2024-01-04,25.53,애플,개좆 거품 애플원툴 호로버핏 주식좀 알려줘 ?ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-01-05,26.4,테슬라,테슬라 이번달이 올해 최고의 기회다 ㄷㄷㄷㄷ
2024-01-06,33.9,이유,가난하지만 행복한 이유
2024-01-08,28.81,엔비디아,와 엔비디아 사상 최고가 찍음 ㄷㄷ
2024-01-09,29.04,엔비디아,엔비디아가 유일한 희망이다
2024-01-10,28.17,엔비디아,엔비디아 제발좀뒤져라
